Theorem name,Reusable name,Paper-facing name,File,Status,Informal statement,Paper claim supported,Assumptions,Not claimed,Depends on
`identifiability_gap_extremes`,`exists_same_observable_with_cmi_eq_zero_and_cmi_eq_entropy`,`theorem1_identifiability_gap`,`lean/CausalQIF/Certificates/IdentifiabilityGap.lean`,wrapper,"For any finite `(T, A)` distribution `Q`, if the state type is at least as large as the action type, there are two finite PMFs with the same observable `(T, A)` marginal: one with `I(S; A | T) = 0`, and one with `I(S; A | T) = H(A | T)`.",The finite-discrete core of the output-trace identifiability gap / Theorem 1 narrative.,"Finite types, decidable equality, `Fintype.card A <= Fintype.card S`.","No claim about real-world identifiability, continuous states, or how an auditor learns which PMF generated a deployment.","`CausalQIF.InfoTheory`, especially finite entropy and `I_SA_cond_T`."
`prop2_dynamic_lb`,`probe_action_cmi_le_state_action_cmi_of_condMarkov`,`proposition2_dynamic_lower_bound`,`lean/CausalQIF/Certificates/DualCertificate.lean`,wrapper,"If a probe `X` reaches action `A` only through state `S` conditional on trace `T`, then `I(X; A | T) <= I(S; A | T)`.",Proposition 2 / conditional-DPI dynamic certificate.,"Finite PMF over `(Probe, State, Action, Trace)` and concrete `condMarkov` predicate.","Does not prove that an arbitrary empirical probe is admissible; the conditional Markov premise must be justified separately.","`InfoTheory.DPI.cond_dpi`."
`condMarkov_deterministicProbePMF`,`condMarkov_deterministicProbePMF`,`proposition2_dynamic_lower_bound_deterministic`,`lean/CausalQIF/Certificates/DualCertificate.lean`,core,"Lifting a `(State, Action, Trace)` PMF with a deterministic readout `probe : State -> Trace -> Probe` automatically satisfies the concrete `condMarkov` predicate.",Markov-premise discharge for conservative dynamic probes.,"Finite PMF over `(State, Action, Trace)` and deterministic probe readout from `(State, Trace)`.","Does not cover probes that read the action, extra hidden variables, or randomized probe noise not included in `(State, Trace)`.","`deterministicProbePMF_apply`, marginal identities for the lifted PMF."
`prop2_dynamic_lb_deterministic_probe`,`probe_action_cmi_le_state_action_cmi_of_deterministicProbe`,`proposition2_dynamic_lower_bound_deterministic`,`lean/CausalQIF/Certificates/DualCertificate.lean`,wrapper,"For a deterministic readout of `(State, Trace)`, `I(Probe; Action | Trace) <= I(State; Action | Trace)` without an external `condMarkov` premise.",Conservative dynamic lower-bound entry point with the Markov premise discharged by construction.,"Finite PMF over `(State, Action, Trace)` and deterministic probe readout from `(State, Trace)`.","Does not certify arbitrary empirical or randomized probes unless they are represented as deterministic readouts of the modeled state and trace.","`prop2_dynamic_lb`, `condMarkov_deterministicProbePMF`."
`aggregated_dynamic_lb`,`max_probe_action_cmi_le_state_action_cmi_of_markov_probes`,``,`lean/CausalQIF/Certificates/DualCertificate.lean`,wrapper,"The maximum over replay, intervention, and proxy lower terms remains bounded by the corresponding maximum of true dynamic relevance terms.",Aggregating several valid dynamic probe classes.,Each probe distribution satisfies `condMarkov`.,"Does not compare probes from different audit abstractions unless their PMFs and traces are already aligned by the caller.","`prop2_dynamic_lb`, order lemmas for `max`."
`static_decomposition`,`static_decomposition`,``,`lean/CausalQIF/Certificates/DualCertificate.lean`,core,"The visible/full trace entropy gap decomposes exactly as `H(S | T_tilde) = H(S | T_full) + I(S; M | T_tilde)`.",Trace-gap identity used in the structural budget proof.,"Finite PMF over `(State, VisibleTrace, MissingTrace)`.","Does not itself bound `I(S; M | T_tilde)`; it is only the algebraic decomposition.","Definitions of `H_S_cond_Ttilde`, `H_S_cond_Tfull`, and `I_S_M_cond_Ttilde`."
`prop1_static_ub`,`hidden_trace_entropy_le_cut_capacity`,`proposition1_static_entropic_cut_bound`,`lean/CausalQIF/Certificates/DualCertificate.lean`,wrapper,"If an external cut bound gives `I(S; M | T_tilde) <= C_cut(Omega)`, then `H(S | T_tilde) <= H(S | T_full) + C_cut(Omega)`.",Proposition 1 / structural cut-set upper budget.,Finite PMF and explicit caller-supplied cut/information-flow bound.,"Does not prove the network cut-set inequality by itself; the cut bound is an explicit premise.","`static_decomposition`."
`prop1_static_ub_bounded`,`hidden_trace_entropy_le_entropic_cap`,``,`lean/CausalQIF/Certificates/DualCertificate.lean`,wrapper,"The static state-entropy gap is bounded by the entropy, and therefore log-cardinality, of the missing trace.",Coarse finite-support sanity bound for structural hidden trace entropy.,Finite missing-trace type.,"Not a replacement for the structural cut-set budget; it ignores graph topology and edge capacities.","`static_decomposition`, `I_S_M_cond_Ttilde_le_H_M`, `H_M_le_log_card_M`."
`corollary_additive_ub`,`hidden_trace_entropy_le_sum_cut_capacities`,``,`lean/CausalQIF/Certificates/DualCertificate.lean`,wrapper,"Under software orthogonality, the static cut bound can be replaced by an additive edge-sum bound.",Additive min-cut structural budget corollary.,Finite PMF, cut-bound premise, and `software_orthogonal`.,"Does not prove software orthogonality from program source code or runtime traces.","`prop1_static_ub`."
`cut_set_dpi_bound`,`cut_set_dpi_bound`,``,`lean/CausalQIF/Certificates/CutSetBoundExtract.lean`,core,"After pushing `(S, T, M)` to `(S, Cut, M, T)`, conditional DPI bounds `I(S; M | T_tilde)` by `I(Cut; M | T_tilde)`.",Formal cut-set DPI step in the structural budget chain.,Finite cut variables and `condMarkov (pmf_from_vars P Omega_vars)`.,"Does not prove the cut variable was correctly extracted from a real deployment graph.","`I_original_eq_I_XZ_W_pmf_from_vars`, `cond_dpi`."
`abstract_cut_set_bound`,`abstract_cut_set_bound`,``,`lean/CausalQIF/Certificates/CutSetBoundExtract.lean`,core,"Combining the cut-set DPI step with a capacity bound yields `I(S; M | T_tilde)` by `C_cut`.",Bridge from topology/DPI to a numeric cut capacity.,`condMarkov` for the pushed PMF and capacity premise `I(Cut; M | T_tilde) <= C_cut`.,"Does not derive the numeric capacity from interface specs.","`cut_set_dpi_bound`."
`prop1_static_ub_from_cut`,`prop1_static_ub_from_cut`,``,`lean/CausalQIF/Certificates/CutSetBoundExtract.lean`,core,"The extracted cut-set premises imply the final structural state-entropy upper bound.",Convenient end-to-end Lean entry point for Proposition 1 from cut variables.,"Finite PMF, cut-variable map, `condMarkov`, and capacity upper bound.","Does not verify graph extraction, capacity estimation, or logging instrumentation.","`abstract_cut_set_bound`, `prop1_static_ub`."
`cond_dpi`,`cond_dpi`,``,`lean/CausalQIF/InfoTheory/DPI.lean`,core,"For finite PMFs, `condMarkov` implies `I(X; Z | W) <= I(Y; Z | W)`.",Conditional data-processing inequality used by both the dynamic and cut-set certificate routes.,Finite four-variable PMF and concrete algebraic `condMarkov`.,"Does not assert `condMarkov` holds for a deployment; it proves the inequality once the premise is supplied.",Chain-rule identities and nonnegativity of conditional mutual information.
`cond_mutual_info_zero_of_markov`,`cond_mutual_info_zero_of_markov`,``,`lean/CausalQIF/DSeparation/DSepCMIBridge.lean`,core,"A finite Markov chain `A -> B -> C` has `I(A; C | B) = 0`.",Algebraic zero-CMI bridge for three-variable d-separation examples.,Finite PMF and concrete `IsMarkovChain` factorization.,"Does not prove a DAG globally Markov factorizes; it consumes the Markov-chain premise.","`InfoTheory.Conditional.condMutualInfo_eq_zero_of_condIndep`."
